Etiqueta_Jornada,Equipo,Equipo_Rival,Jugador_Fantasy,Jugador_SofaScore,Posicion,Stats_Reales,Stats_Calculados,Discrepancia,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Goles_en_contra_Reales,Amarillas,Rojas
T24-25 - J38,Leganés,Real Valladolid,Diomande,Yan Diomande,M,0,14,-14,0,9.5,63,1,1,0,0,0
T24-25 - J13,Real Madrid,Osasuna,Asencio,Raúl Asencio,D,0,10,-10,0,7.4,60,0,1,0,0,0
T23-24 - J8,Real Betis,Valencia,Assane,Assane Diao,M,0,10,-10,0,7.7,72,1,0,0,0,0
T23-24 - J22,Barcelona,Villarreal,Gündogan,İlkay Gündoğan,M,9,18,-9,4,9.3,90,1,1,5,0,0
T23-24 - J36,Celta Vigo,Athletic Club,Hugo Álvarez,Hugo Álvarez,M,0,9,-9,0,7.9,45,1,1,1,0,0
T23-24 - J19,Granada,Cádiz,Batalla,Augusto Batalla,G,0,9,-9,0,7.2,90,0,0,0,0,0
T24-25 - J21,Athletic Club,Leganés,Berenguer,Álex Berenguer,M,6,15,-9,3,7.8,73,0,0,0,0,0
T23-24 - J23,Villarreal,Cádiz,Baena,Alejandro Baena,M,4,12,-8,3,8.3,90,0,0,0,0,0
T23-24 - J36,Celta Vigo,Athletic Club,Damián,Damián Rodríguez,M,0,8,-8,0,7.3,90,0,1,1,0,0
T24-25 - J17,Real Valladolid,Valencia,Juma Bah,Abdulay Juma Bah,D,0,8,-8,0,8.2,90,0,0,0,0,0
T23-24 - J1,Granada,Atlético Madrid,Omorodion,Samu Aghehowa,F,0,8,-8,0,7.4,81,1,0,3,0,0
T23-24 - J7,Real Betis,Granada,Assane,Assane Diao,M,0,8,-8,0,7.9,81,1,0,1,0,0
T23-24 - J4,Real Madrid,Getafe,Kroos,Toni Kroos,M,1,9,-8,2,8.4,45,0,0,1,0,0
T24-25 - J6,Real Madrid,Espanyol,Mbappé,Kylian Mbappé,F,11,19,-8,4,8.3,90,1,1,0,0,0
T24-25 - J35,Leganés,Espanyol,Diomande,Yan Diomande,M,0,8,-8,0,7.5,90,1,0,2,0,0
T25-26 - J2,Real Madrid,Real Oviedo,Güler,Arda Güler,M,6,14,-8,4,7.3,74,0,1,0,0,0
T24-25 - J21,Real Betis,Mallorca,Ortiz,Angel Ortiz,D,0,8,-8,0,7.9,90,0,1,0,0,0
T25-26 - J20,Real Madrid,Levante UD,Güler,Arda Güler,M,7,15,-8,4,7.5,45,0,1,0,0,0
T25-26 - J3,Real Madrid,Mallorca,Mbappé,Kylian Mbappé,F,1,8,-7,2,6.7,89,0,0,1,0,0
T24-25 - J11,Villarreal,Real Valladolid,Baena,Alejandro Baena,M,3,10,-7,2,8.5,89,0,0,1,0,0
T24-25 - J38,Girona FC,Atlético Madrid,Francés,Alejandro Francés,D,6,-1,7,3,7.1,64,0,0,4,0,0
T23-24 - J18,Sevilla,Granada,Kike Salas,Kike Salas,D,0,7,-7,0,7.3,90,0,0,0,0,0
T23-24 - J18,Barcelona,Almería,Gündogan,İlkay Gündoğan,M,0,7,-7,1,7.3,90,0,0,2,0,0
T23-24 - J34,Almería,Rayo Vallecano,Peña,Marcos Peña,M,0,7,-7,0,7.5,90,0,0,0,0,0
T23-24 - J32,Celta Vigo,Las Palmas,Hugo Álvarez,Hugo Álvarez,M,0,7,-7,0,7.7,90,0,0,1,0,0
T23-24 - J15,Sevilla,Villarreal,Kike Salas,Kike Salas,D,0,7,-7,0,7.5,18,1,0,1,0,0
T23-24 - J30,Celta Vigo,Rayo Vallecano,Hugo Álvarez,Hugo Álvarez,M,0,7,-7,0,7.4,87,0,0,0,0,0
T23-24 - J20,Rayo Vallecano,Atlético Madrid,Pep Chavarría,Josep Chavarría,M,4,11,-7,4,7.3,90,0,1,2,0,0
T23-24 - J2,Celta Vigo,Real Sociedad,Aspas,Iago Aspas,F,1,8,-7,1,7.3,89,0,0,1,0,0
T24-25 - J5,Villarreal,Mallorca,Baena,Alejandro Baena,M,7,14,-7,4,8.1,90,0,1,0,0,0
T24-25 - J5,Villarreal,Mallorca,Comesaña,Santi Comesaña,M,3,10,-7,2,7.4,85,0,0,0,0,0
T24-25 - J11,Espanyol,Sevilla,Tejero,Álvaro Tejero,M,0,7,-7,2,7.2,90,0,0,2,0,0
T24-25 - J6,Real Valladolid,Real Sociedad,Juma Bah,Abdulay Juma Bah,D,0,7,-7,0,7.5,78,0,0,0,0,0
T25-26 - J21,Levante UD,Elche,Pablo Martínez,Pablo Martínez,M,14,21,-7,4,8.2,90,1,1,2,0,0
T24-25 - J3,Villarreal,Celta Vigo,Barry,Thierno Barry,F,0,6,-6,0,7.2,31,1,0,3,0,0
T24-25 - J1,Celta Vigo,Deportivo Alavés,Hugo Álvarez,Hugo Álvarez,M,0,6,-6,0,6.9,90,0,1,1,0,0
T24-25 - J3,Espanyol,Atlético Madrid,Kumbulla,Marash Kumbulla,D,0,6,-6,0,7.1,65,0,0,0,0,0
T23-24 - J16,Sevilla,Mallorca,Rakitic,Ivan Rakitić,M,5,11,-6,3,7.7,90,0,0,1,0,0
T23-24 - J19,Real Madrid,Mallorca,Modric,Luka Modrić,M,8,14,-6,4,8.4,86,0,1,0,0,0
T23-24 - J37,Athletic Club,Sevilla,R. de Galarreta,Iñigo Ruiz de Galarreta,M,5,11,-6,3,7.9,75,0,0,0,0,0
T24-25 - J33,Athletic Club,Las Palmas,I. Williams,Iñaki Williams,M,9,15,-6,4,8.2,90,1,0,0,0,0
T24-25 - J23,Las Palmas,Villarreal,Javi Muñoz,Javier Muñoz,M,3,9,-6,2,7.8,90,0,0,2,0,0
T24-25 - J21,Valencia,Barcelona,Córdoba,Iker Cordoba,D,1,-5,6,1,6.5,8,0,0,6,0,0
T24-25 - J24,Real Betis,Real Sociedad,Antony,Antony,M,12,18,-6,4,9.3,90,1,1,0,0,0
T24-25 - J3,Villarreal,Celta Vigo,Baena,Alejandro Baena,M,5,11,-6,2,7.9,72,0,0,3,0,0
T23-24 - J34,Barcelona,Girona FC,S. Roberto,Sergi Roberto,M,-4,2,-6,0,6.4,79,0,0,4,0,0
T23-24 - J14,Sevilla,Real Sociedad,Ramos,Sergio Ramos,D,-4,2,-6,0,6.5,88,0,0,1,0,0
T23-24 - J36,Athletic Club,Celta Vigo,Unai Simón,Unai Simón,G,5,-1,6,3,6.6,62,0,0,2,0,0
T24-25 - J1,Getafe,Athletic Club,Uche,Christantus Uche,F,0,6,-6,0,7.3,90,1,0,1,0,0
T25-26 - J13,Sevilla,Espanyol,Marcão,Marcão,D,8,2,6,2,7.0,90,0,0,2,0,0
T25-26 - J26,Girona FC,Celta Vigo,Arnau,Arnau Martínez,D,-2,4,-6,1,6.4,90,0,0,1,0,0
T25-26 - J24,Real Sociedad,Real Madrid,Carlos Soler,Carlos Soler,M,2,8,-6,1,7.2,90,0,0,4,0,0
T25-26 - J1,Rayo Vallecano,Girona FC,Isi,Isi Palazón,M,9,15,-6,4,7.8,90,1,0,1,0,0
T25-26 - J1,Villarreal,Real Oviedo,Pépé,Nicolas Pépé,M,9,15,-6,4,8.5,82,0,1,0,0,0
T25-26 - J9,Real Oviedo,Espanyol,Hassan,Haissem Hassan,M,7,1,6,2,6.9,65,0,0,2,0,0
T25-26 - J2,Sevilla,Getafe,Lukebakio,Dodi Lukebakio,M,3,9,-6,3,6.8,90,0,0,2,0,0
T24-25 - J36,Leganés,Villarreal,Altimira,Adrià Altimira,M,0,6,-6,1,7.0,90,0,0,3,0,0
T25-26 - J8,Celta Vigo,Atlético Madrid,M. Alonso,Marcos Alonso,D,5,11,-6,4,8.1,90,0,0,0,0,0
T25-26 - J13,Osasuna,Real Sociedad,Oroz,Aimar Oroz,F,4,10,-6,4,7.5,90,0,1,3,0,0
T24-25 - J36,Leganés,Villarreal,Diomande,Yan Diomande,M,0,6,-6,0,8.0,90,0,0,3,0,0
T24-25 - J35,Rayo Vallecano,Las Palmas,Isi,Isi Palazón,M,4,10,-6,3,7.4,90,0,0,0,0,0
T24-25 - J4,Real Valladolid,Barcelona,Özkacar,Cenk Özkaçar,D,1,-5,6,1,0.0,2,0,0,7,0,0
T24-25 - J6,Real Madrid,Espanyol,Modric,Luka Modrić,M,5,11,-6,3,8.2,90,0,0,0,0,0
T24-25 - J4,Deportivo Alavés,Las Palmas,Carlos Vicente,Carlos Vicente,M,10,16,-6,4,8.0,82,1,0,0,0,0
T24-25 - J3,Deportivo Alavés,Real Sociedad,Toni Martinez,Toni Martínez,F,0,6,-6,0,7.5,20,1,0,1,0,0
T24-25 - J13,Rayo Vallecano,Las Palmas,Gumbau,Gerard Gumbau,M,1,7,-6,0,6.9,71,0,0,2,0,0
T24-25 - J11,Deportivo Alavés,Rayo Vallecano,Guridi,Jon Guridi,M,3,9,-6,1,6.7,90,0,0,0,0,0
T24-25 - J21,Valencia,Barcelona,Diakhaby,Mouctar Diakhaby,D,1,-5,6,1,6.7,9,0,0,6,0,0
T24-25 - J16,Osasuna,Deportivo Alavés,Rubén G.,Rubén García,M,6,12,-6,4,8.0,83,1,0,2,0,0
T24-25 - J33,Getafe,Real Madrid,Luis Milla,Luis Milla,M,4,10,-6,3,7.8,90,0,0,1,0,0
T24-25 - J34,Getafe,Rayo Vallecano,Luis Milla,Luis Milla,M,3,9,-6,3,7.1,90,0,0,1,0,0
T24-25 - J26,Real Betis,Real Madrid,Isco,Isco,M,11,17,-6,4,8.7,90,1,1,1,0,0
T23-24 - J1,Girona FC,Real Sociedad,Dovbyk,Artem Dovbyk,F,0,6,-6,0,7.3,26,1,0,1,0,0
T23-24 - J6,Sevilla,Osasuna,Rakitic,Ivan Rakitić,M,4,10,-6,2,7.3,90,0,0,0,0,0
T23-24 - J38,Getafe,Mallorca,Soria,David Soria,G,7,1,6,3,7.2,84,0,0,2,0,0
T23-24 - J37,Real Betis,Real Sociedad,Fekir,Nabil Fekir,M,0,6,-6,3,8.0,90,0,0,2,0,0
T23-24 - J38,Real Betis,Real Madrid,Visus,Ricardo Visus,D,0,6,-6,0,7.2,90,0,0,0,0,0
T23-24 - J4,Valencia,Deportivo Alavés,Gayà,José Luis Gayà,D,2,8,-6,2,7.2,90,0,0,0,0,0
T23-24 - J7,Cádiz,Rayo Vallecano,Javi Hernández,Javier Hernández,D,4,10,-6,1,7.1,90,0,0,0,0,0
T25-26 - J25,Celta Vigo,Mallorca,Hugo Álvarez,Hugo Álvarez,M,3,9,-6,2,7.3,90,0,0,0,0,0
T25-26 - J22,Barcelona,Elche,Yamal,Lamine Yamal,F,9,15,-6,4,9.3,90,1,0,1,0,0
T23-24 - J29,Osasuna,Real Madrid,Mojica,Johan Mojica,M,-3,3,-6,0,6.4,90,0,0,4,0,0
T23-24 - J26,Barcelona,Getafe,Gündogan,İlkay Gündoğan,M,4,10,-6,3,7.1,83,0,0,0,0,0
T23-24 - J23,Las Palmas,Granada,Sandro,Sandro Ramírez,F,3,9,-6,2,7.6,81,0,0,1,0,0
T23-24 - J18,Barcelona,Almería,Raphinha,Raphinha,F,12,18,-6,4,9.2,76,1,1,2,0,0
T23-24 - J2,Real Betis,Atlético Madrid,Marc Roca,Marc Roca,M,0,6,-6,0,7.0,90,0,0,0,0,0
T23-24 - J1,Cádiz,Deportivo Alavés,Machís,Darwin Machís,M,4,9,-5,3,7.3,87,0,0,0,0,0
T23-24 - J2,Barcelona,Cádiz,Gündogan,İlkay Gündoğan,M,8,13,-5,4,8.8,90,0,1,0,0,0
T23-24 - J10,Mallorca,Real Sociedad,Dani Rodríguez,Dani Rodríguez,M,3,8,-5,1,7.1,86,0,0,1,0,0
T23-24 - J14,Rayo Vallecano,Barcelona,Espino,Alfonso Espino,D,0,5,-5,0,6.6,90,0,0,0,0,0
T23-24 - J10,Barcelona,Athletic Club,Marc Guiu,Marc Guiu,F,0,5,-5,0,7.4,11,1,0,0,0,0
T23-24 - J3,Athletic Club,Real Betis,Unai Gómez,Unai Gómez,M,0,5,-5,0,7.2,24,1,0,2,0,0
T23-24 - J4,Real Betis,Rayo Vallecano,Isco,Isco,M,5,10,-5,3,7.4,89,0,0,0,0,0
T24-25 - J3,Sevilla,Mallorca,Iheanacho,Kelechi Iheanacho,F,0,5,-5,0,6.8,62,0,0,0,0,0
T24-25 - J3,Celta Vigo,Villarreal,Alfon,Alfon González,F,0,5,-5,0,6.6,70,0,0,3,0,0
T24-25 - J2,Getafe,Rayo Vallecano,Aberdin,Nabil Aberdin,M,0,5,-5,0,6.7,66,0,0,0,0,0
T24-25 - J2,Las Palmas,Leganés,Alex Suárez,Alex Suárez,D,4,-1,5,2,6.6,65,0,0,2,0,0
T24-25 - J1,Real Madrid,Mallorca,Vinicius,Vinicius Júnior,F,4,9,-5,4,7.2,88,0,1,1,0,0
T24-25 - J1,Las Palmas,Sevilla,Javi Muñoz,Javier Muñoz,M,3,8,-5,4,7.3,90,0,1,1,0,0
T24-25 - J1,Sevilla,Las Palmas,Juanlu,Juanlu Sánchez,M,6,11,-5,3,7.4,83,1,0,1,0,0
T24-25 - J1,Leganés,Osasuna,Soriano,Juan Soriano,G,2,7,-5,3,7.3,90,0,0,0,0,0
T23-24 - J38,Getafe,Mallorca,Djené,Djené,D,5,0,5,1,6.6,71,0,0,2,0,0
T24-25 - J1,Las Palmas,Sevilla,Álex Muñoz,Álex Muñoz,D,2,7,-5,2,7.7,69,0,0,1,0,0
T23-24 - J34,Celta Vigo,Villarreal,Aspas,Iago Aspas,F,13,18,-5,4,9.2,90,1,1,2,0,0
T23-24 - J34,Real Madrid,Cádiz,Brahim,Brahim Díaz,F,15,10,5,4,8.3,73,1,1,0,0,0
T23-24 - J33,Mallorca,Cádiz,Giovanni,Giovanni González,D,1,6,-5,2,6.9,90,0,0,0,0,0
T23-24 - J34,Real Madrid,Cádiz,Modric,Luka Modrić,M,6,11,-5,4,8.4,90,0,1,0,0,0
T23-24 - J37,Getafe,Deportivo Alavés,Maksimovic,Nemanja Maksimović,M,1,6,-5,2,7.1,90,0,0,1,0,0
